0ward,1area,2may16,3may12,4edu,5age,6gender,7xcoord,8ycoord,9income,10populationsize
E05000480,8,0.815355329949,0.847493036212,2.29718282112,40.1162114537,0.432018094999,0.0518319876701,51.5326909593,32.38,11937.0
E05000481,8,0.843084308431,0.889966555184,2.24249525723,40.4111808791,0.446205250597,0.0514596487026,51.5426429577,32.34,10475.0
E05000482,8,0.813650306748,0.786905754796,1.94606290901,42.2111165285,0.511082138201,0.0586572367209,51.5247162284,31.43,10738.0
E05000483,8,0.815300546448,0.783075089392,2.37185835747,40.3468957965,0.486687106665,0.019802769545,51.5513724482,34.27,12394.0
E05000484,8,0.825980392157,0.793456838786,2.37690311419,38.8086064937,0.464293577982,0.0200424355578,51.5456972747,34.55,13625.0
E05000485,8,0.819747769917,0.888564002599,2.22395520896,38.6940477247,0.423701842546,0.0370405975851,51.5418479062,31.57,11940.0
E05000486,8,0.844134263875,0.870671378092,2.17913185246,39.766831774,0.434466019417,0.0285036427947,51.5400311958,31.08,11536.0
E05000487,8,0.865992826867,0.859894259819,1.97642455859,40.6672777269,0.479224376731,0.0568534069584,51.5538594513,29.73,11552.0
E05000488,8,0.861240588024,0.847826086957,2.20258090946,40.525217554,0.454954954955,0.0443226612738,51.5500144784,31.58,11322.0
E05000489,8,0.822631166797,0.814609141393,2.06542150429,40.8668198529,0.483196219149,0.0231260745697,51.5318447882,30.74,11426.0
E05000490,8,0.782220496894,0.774317406143,2.06608884074,41.0709917575,0.498815767214,0.0324134560765,51.5240707062,31.75,11822.0
E05000491,8,0.683925346177,0.608019639935,2.68847266217,37.0711111111,0.478471801092,0.0465190537243,51.5029508507,38.58,8245.0
E05000492,8,0.761577608142,0.714218233349,2.65965051628,37.201148188,0.474796195652,-0.00607375618103,51.5401361512,35.84,14720.0
E05000493,8,0.796006144393,0.84956925116,2.20151631689,40.5052600531,0.457779442052,0.0632298467562,51.5362865375,32.33,10682.0
E05000494,8,0.763427109974,0.77147918512,2.19341523342,40.7220883534,0.481977779662,0.0113909888156,51.5355878446,32.31,11791.0
E05000573,9,0.857968828557,0.793148880105,2.41424564216,38.9110656536,0.506442113013,-0.0575756344193,51.5312034261,36.23,10866.0
E05000575,9,0.580961727184,0.579584775087,2.82478932584,36.8970008683,0.477014052267,-0.00795056064116,51.5004819145,43.33,15727.0
E05000576,9,0.811161387632,0.668214436471,2.47456108922,38.8526278722,0.50870292887,-0.0265977248925,51.5368660975,36.8,11950.0
E05000577,9,0.772532188841,0.659071367154,2.53099390628,39.9020571078,0.513323572474,-0.0369971783449,51.5313519895,41.0,10245.0
E05000580,9,0.579950289975,0.719059860448,2.32989880405,39.2526708938,0.480613090307,-0.0258169023713,51.511498018,36.26,12070.0
E05000586,9,0.88,0.754373177843,2.36411634828,38.696322986,0.471837164415,-0.0502499293666,51.5113851395,36.36,11398.0
E05000587,9,0.841666666667,0.7109375,2.64762269939,36.4053621941,0.461018115111,-0.0715686431314,51.5190498658,39.91,8722.0
E05000584,9,0.870319274734,0.812777587974,2.06700937951,40.5183878649,0.499916429885,-0.0434865018061,51.5169726022,32.93,11966.0
E05000585,9,0.564523483812,0.505451373746,3.00869298425,39.4967634366,0.447659574468,-0.064614060936,51.5074154057,50.77,10575.0
E05000588,9,0.833030027298,0.725635103926,2.52716668372,38.826671943,0.479409842189,-0.0701903579553,51.5261451121,37.76,10709.0
E05000589,9,0.824140401146,0.772800645682,2.66372084548,36.1746059545,0.450082101806,-0.062279725747,51.5154314093,37.6,12180.0
E05000146,10,0.601508916324,0.509730538922,2.50273045888,43.5583630445,0.500074827896,-0.0815498942983,51.3807519909,38.07,13364.0
E05000147,10,0.45752465797,0.404409107336,2.12601742794,48.001223875,0.521802062602,-0.0581827357681,51.3842292241,38.6,11054.0
E05000148,10,0.735601212529,0.733451957295,2.23571758191,44.7573887344,0.518921634293,-0.106381502379,51.3971117575,33.53,11944.0
E05000149,10,0.739993595901,0.746488764045,2.11016382481,42.1816323321,0.510099872344,-0.116084887375,51.3796984529,31.0,13317.0
E05000150,10,0.257318952234,0.220588235294,2.22735210653,52.1295080202,0.530095258034,-0.12347279166,51.3049335888,42.66,9553.0
E05000151,10,0.298793470546,0.238980994743,2.41814892976,49.7722673079,0.515800697945,-0.142503414835,51.3219721196,46.61,10316.0
E05000152,10,0.435185185185,0.342326559215,2.66071729247,45.1093300452,0.504830535318,-0.0884607060151,51.3551812433,42.26,12628.0
E05000153,10,0.491825158492,0.394157493649,2.74722107863,43.637808642,0.491327751196,-0.0859208799404,51.3709298652,39.13,13376.0
E05000154,10,0.654436860068,0.637043189369,1.42510460251,45.0947634424,0.568512341561,-0.0179440822357,51.3535014136,26.72,7495.0
E05000155,10,0.329846582985,0.254200929567,2.22949486736,49.1693443768,0.532301740812,-0.0420423250696,51.3568945847,39.77,10340.0
E05000156,10,0.297515110813,0.222476190476,2.45431379687,48.9977552303,0.522321817074,-0.104203434641,51.3184726444,44.16,11491.0
E05000157,10,0.550552251487,0.510433386838,1.43144774688,47.4766648472,0.549506237006,-0.00999756721207,51.3412316638,28.77,7696.0
E05000158,10,0.648394912174,0.599865047233,2.40954239092,46.7901132512,0.520038092215,-0.118917446203,51.4108278557,36.81,12601.0
E05000159,10,0.338956078931,0.247660187185,2.61534896654,48.3252466733,0.518966272449,-0.116561319587,51.3404376909,44.6,11415.0
E05000160,10,0.245742092457,0.174708818636,2.41993481232,51.8442357851,0.522679058491,-0.0806881767676,51.3312331709,47.03,9899.0
E05000161,10,0.746085011186,0.742880390561,2.1697484591,43.5222036195,0.521327737505,-0.092265107858,51.3896046872,31.22,13105.0
E05000162,10,0.23597359736,0.198126801153,2.34251881363,51.5132067234,0.519446205876,-0.0610277254526,51.3434493707,45.32,9462.0
E05000163,10,0.354000590493,0.303905480801,2.13577627772,49.9864442127,0.543954532954,-0.0382647235486,51.3754027112,39.5,10909.0
E05000164,10,0.722486520774,0.636096845194,2.40013674045,44.7624753775,0.522083267374,-0.0781711338366,51.4054975122,34.43,12634.0
E05000165,10,0.750172771251,0.703264094955,2.18515482696,45.0282738095,0.532368044448,-0.0955597821978,51.4034106931,33.72,11879.0
E05000166,10,0.685652038593,0.591394025605,2.40056617127,45.4321548822,0.52461413485,-0.0987488552465,51.4146592194,37.43,12310.0
E05000167,10,0.566117286317,0.513757523646,2.22210953347,45.0326570205,0.526307596513,-0.111565715484,51.3610503358,34.63,12848.0
E05000168,10,0.737626903553,0.739623980135,2.16367673179,44.0793532338,0.524211532335,-0.119046204255,51.3921365167,32.4,12556.0
E05000169,10,0.706769554542,0.622957353527,2.23418162803,43.7283410534,0.53879097348,-0.0663525592281,51.3934671001,33.89,12142.0
E05000555,11,0.446629213483,0.357271095153,2.08270575578,48.272703515,0.512009149828,-0.137927534653,51.3764096887,39.29,7869.0
E05000556,11,0.358585858586,0.308995327103,2.08532874719,48.1580314245,0.531132783196,-0.132369677627,51.3519227753,35.6,7998.0
