"","ELmap$GSS_CODE"
"423","E05000463"
"424","E05000457"
"425","E05000621"
"426","E05000625"
"427","E05000627"
"428","E05000628"
"429","E05000629"
"430","E05000613"
"431","E05000616"
"432","E05000626"
"433","E05000624"
"434","E05000612"
"435","E05000618"
"436","E05000615"
"437","E05000611"
"438","E05000610"
"439","E05000614"
"440","E05000619"
"441","E05000617"
"442","E05000622"
"443","E05000620"
"444","E05000623"
"445","E05000259"
"446","E05000257"
"447","E05000262"
"448","E05000260"
"449","E05000254"
"450","E05000261"
"451","E05000256"
"452","E05000252"
"453","E05000251"
"454","E05000265"
"455","E05000263"
"456","E05000253"
"457","E05000264"
"458","E05000255"
"459","E05000258"
"460","E05000250"
"461","E05000387"
"462","E05000391"
"463","E05000392"
"464","E05000389"
"465","E05000396"
"466","E05000399"
"467","E05000397"
"468","E05000383"
"469","E05000382"
"470","E05000394"
"471","E05000393"
"472","E05000385"
"473","E05000398"
"474","E05000388"
"475","E05000386"
"476","E05000395"
"477","E05000390"
"478","E05000384"
"479","E05000644"
"480","E05000638"
"481","E05000637"
"482","E05000636"
"483","E05000633"
"484","E05000646"
"485","E05000649"
"486","E05000635"
"487","E05000632"
"488","E05000643"
"489","E05000630"
"490","E05000641"
"491","E05000642"
"492","E05000631"
"493","E05000647"
"494","E05000645"
"495","E05000648"
"496","E05000639"
"497","E05000640"
"498","E05000634"
"499","E05000144"
"500","E05000137"
"501","E05000140"
"502","E05000129"
"503","E05000138"
"504","E05000143"
"505","E05000130"
"506","E05000131"
"507","E05000141"
"508","E05000132"
"509","E05000133"
"510","E05000134"
"511","E05000135"
"512","E05000139"
"513","E05000145"
"514","E05000128"
"515","E05000136"
"516","E05000142"
"517","E05000583"
"518","E05000575"
"519","E05000586"
"520","E05000585"
"521","E05000580"
"522","E05000574"
"523","E05000581"
"524","E05000573"
"525","E05000584"
"526","E05000582"
"527","E05000579"
"528","E05000578"
"529","E05000577"
"530","E05000576"
"531","E05000589"
"532","E05000587"
"533","E05000588"
"534","E05000370"
"535","E05000368"
"536","E05000379"
"537","E05000375"
"538","E05000372"
"539","E05000373"
"540","E05000381"
"541","E05000367"
"542","E05000380"
"543","E05000369"
"544","E05000366"
"545","E05000378"
"546","E05000376"
"547","E05000371"
"548","E05000374"
"549","E05000377"
"550","E05000239"
"551","E05000231"
"552","E05000236"
"553","E05000245"
"554","E05000249"
"555","E05000235"
"556","E05000247"
"557","E05000238"
"558","E05000242"
"559","E05000244"
